timestamp,worker_id,session_id,prompt_code,temperature,frequency_penalty,num_query,num_selected,perc_selected,num_cursor,time,num_event,written_by_human
6/16/2025 15:42,123,f27d4fb136f8447e88e6615a1391ede4,antitrust,0.95,0.5,31,12,39,195,18,1695,52
6/16/2025 17:41,123,bc5c4aa1f7d544e9a91b6492d5ec8f4d,corporate,0.95,0.5,9,3,33,100,13,2191,90
6/17/2025 14:19,123,f9da5086528a4eeab85bbf1b0f8bb279,antitrust,0.95,0.5,7,5,71,41,39,2871,63
6/17/2025 18:16,123,88c5fa736f93401c9fd326f08bcce8bf,corporate,0.95,0.5,2,0,0,14,10,3956,100
6/17/2025 19:39,123,015eaf7198034cbd9fbdf9129bab33c3,antitrust,0.95,0.5,11,9,82,186,21,4158,73
6/25/2025 18:28,acp225,943b2fa1a50843cb8e3a471708b82965,antitrust,0.95,0.5,21,13,62,193,29,4235,46
6/25/2025 19:14,ec952,34131227bb9c4cda93def59524045510,antitrust,0.95,0.5,4,1,25,67,40,7039,93
6/25/2025 20:15,ey285,7acdc6ba156d4ccaa782e59332babda8,corporate,0.95,0.5,6,1,17,10,11,3387,67
